City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Kapaa,US,22.0752,-159.319,82.38,76,90,1.01,moderate rain
80,New Norfolk,AU,-42.7826,147.0587,60.75,50,100,5.01,overcast clouds
81,Ponta Do Sol,PT,32.6667,-17.1,71.71,73,58,6.38,broken clouds
82,Asnaes,DK,55.8123,11.5013,52.14,86,100,15.73,overcast clouds
83,Hermanus,ZA,-34.4187,19.2345,59.9,88,70,9.28,broken clouds
84,Bemidji,US,47.4736,-94.8803,39.49,90,1,6.91,clear sky
85,Isangel,VU,-19.55,169.2667,86.11,58,42,5.75,scattered clouds
86,Ballina,AU,-28.8667,153.5667,71.64,66,75,19.57,broken clouds
87,Fort Nelson,CA,58.8053,-122.7002,26.19,74,40,0.0,scattered clouds
88,Saldanha,ZA,-33.0117,17.9442,57.25,88,87,6.78,overcast clouds
89,Kaitangata,NZ,-46.2817,169.8464,48.56,91,100,20.02,overcast clouds
90,Necochea,AR,-38.5473,-58.7368,54.03,80,88,14.43,overcast clouds
91,Kahului,US,20.8947,-156.47,85.26,69,20,10.36,few clouds
92,San Buenaventura,MX,27.0833,-101.5333,79.12,20,0,0.89,clear sky
93,Port Hardy,CA,50.6996,-127.4199,44.6,93,20,6.91,few clouds
94,Severo-Kurilsk,RU,50.6789,156.125,42.6,81,66,16.22,broken clouds
95,Brigantine,US,39.4101,-74.3646,62.01,97,40,0.0,scattered clouds
96,Albany,US,42.6001,-73.9662,55.74,94,100,2.33,light rain
97,Izacic,BA,44.875,15.7819,46.96,84,39,4.63,scattered clouds
98,Oranjemund,NA,-28.55,16.4333,58.78,95,17,3.22,few clouds
99,Port Macquarie,AU,-31.4333,152.9167,67.96,50,72,9.04,broken clouds
100,Qaanaaq,GL,77.484,-69.3632,2.21,54,0,7.87,clear sky
101,Mount Gambier,AU,-37.8333,140.7667,62.51,51,75,11.5,broken clouds
102,Channel-Port Aux Basques,CA,47.5702,-59.1367,46.9,60,4,7.38,clear sky
103,Lompoc,US,34.6391,-120.4579,60.57,90,90,6.91,fog
104,San Quintin,MX,30.4833,-115.95,63.27,86,48,8.9,scattered clouds
105,Rajanpur,PK,29.1035,70.325,71.58,17,0,3.04,clear sky
106,Inhambane,MZ,-23.865,35.3833,69.28,79,13,5.79,few clouds
107,Pangnirtung,CA,66.1451,-65.7125,31.28,98,100,10.33,snow
108,Phalombe,MW,-15.8064,35.6507,68.31,54,0,1.95,clear sky
109,Nemuro,JP,43.3236,145.575,55.83,74,78,11.18,broken clouds
110,Keti Bandar,PK,24.1447,67.4497,78.71,62,26,8.21,scattered clouds
111,Yerbogachen,RU,61.2767,108.0108,19.94,65,97,12.82,overcast clouds
112,Los Llanos De Aridane,ES,28.6585,-17.9182,63.12,70,0,4.0,clear sky
113,Asilah,MA,35.465,-6.0348,71.46,90,17,13.29,few clouds
114,Margate,GB,51.3813,1.3862,55.31,85,100,1.99,overcast clouds
115,Nanortalik,GL,60.1432,-45.2371,34.23,72,4,3.6,clear sky
116,Berdigestyakh,RU,62.0989,126.6992,12.97,86,100,8.5,overcast clouds
117,Saint George,US,37.1041,-113.5841,69.35,47,1,1.01,clear sky
118,Barabai,ID,-2.5833,115.3833,88.23,60,93,1.9,overcast clouds
119,Hamilton,US,39.1834,-84.5333,54.05,94,90,1.01,overcast clouds
120,Goianesia,BR,-15.3175,-49.1175,70.84,86,100,2.15,overcast clouds
121,Tuktoyaktuk,CA,69.4541,-133.0374,15.8,100,75,9.22,broken clouds
122,Palestine,PS,31.9216,35.2033,65.93,68,86,3.6,overcast clouds
123,Tilichiki,RU,60.4667,166.1,6.15,88,10,9.91,clear sky
124,Kruisfontein,ZA,-34.0033,24.7314,56.26,91,100,4.76,overcast clouds
125,Walvis Bay,NA,-22.9575,14.5053,56.08,100,0,2.3,clear sky
126,Baoqing,CN,46.3317,132.2111,41.36,41,86,8.43,overcast clouds
127,Lewiston,US,44.1003,-70.2148,53.62,98,90,10.36,moderate rain
128,Pisco,PE,-13.7,-76.2167,62.65,88,90,10.36,overcast clouds
129,South Venice,US,27.0531,-82.4243,73.98,84,75,0.0,broken clouds
130,Salta,AR,-24.7859,-65.4117,71.89,86,0,1.01,clear sky
131,Haines Junction,CA,60.7522,-137.5108,40.95,52,100,11.5,overcast clouds
132,Voznesenye,RU,61.0106,35.4781,43.75,92,90,11.18,overcast clouds
133,Leningradskiy,RU,69.3833,178.4167,0.25,96,100,6.69,overcast clouds
134,Rio Gallegos,AR,-51.6226,-69.2181,48.25,40,0,10.36,clear sky
135,Ilulissat,GL,69.2167,-51.1,35.62,75,90,13.8,light intensity shower rain
136,Longyearbyen,SJ,78.2186,15.6401,22.84,80,75,5.75,broken clouds
137,Puerto Ayora,EC,-0.7393,-90.3518,70.65,85,100,7.27,overcast clouds
138,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,87,0,3.44,clear sky
139,Khatanga,RU,71.9667,102.5,4.86,96,100,1.41,light snow
140,Lata,PT,40.1629,-8.3327,67.93,95,100,11.14,overcast clouds
141,Vagur,FO,61.4732,-6.8119,47.16,88,61,15.66,broken clouds
142,Kamyshin,RU,50.0983,45.416,40.26,79,0,5.59,clear sky
143,Muscat,OM,23.6139,58.5922,75.22,56,3,3.62,clear sky
144,Cape Town,ZA,-33.9258,18.4232,61.09,88,0,1.01,clear sky
145,Haradok,BY,55.4624,29.9816,41.41,77,21,9.64,few clouds
146,Bredasdorp,ZA,-34.5322,20.0403,59.29,94,20,3.44,few clouds
147,Lodja,CD,-3.4833,23.4333,68.38,93,100,0.58,overcast clouds
148,Ostrovnoy,RU,68.0531,39.5131,34.52,96,100,3.15,light rain
149,Hobart,AU,-42.8794,147.3294,61.11,54,75,5.01,broken clouds
150,Tiksi,RU,71.6872,128.8694,11.79,77,100,12.12,overcast clouds
